,album,title,year,artist
0,No Dope on Sundays,Trick Me,2017-11-17,cyhitheprynce
1,,Walk On Water/Stan/Love The Way You Lie (SNL Medley),2017-11-18,eminem
2,Totally Hot,Talk To Me,,olivianewtonjohn
3,"Bobby Vinton Collector Series, Volume III: Greatest Hits",Tell Me Why,,bobbyvinton
4,Hasten Down the Wind,The Tattler,,lindaronstadt
5,Ice on Fire,Cry to Heaven,,eltonjohn
6,,To Show I Love You,,theeverlybrothers
7, A Night on the Town (Deluxe Edition),Trade Winds (Early Version),1976-06-18,rodstewart
8,It's a Mystery,16 Shells From a 30-6,1995-10-24,bobseger
9,,I'll Take You There,,kellyprice
10,The Element of Freedom (Deluxe Edition),Stolen Moments,2009-12-11,aliciakeys
11,A Star is Born (Original Motion Picture Soundtrack),Hair Body Face,2018-10-05,ladygaga
12,,Slow Down,,thesupremes
13,Floy Joy,Precious Little Things,,thesupremes
14,Love Swings,Skylark,,bobbydarin
15,Eivets Rednow,Ruby,1968-11-20,steviewonder
16,If I Can Dream: Elvis Presley with the Royal Philharmonic Orchestra,Can't Help Falling In Love [If I Can Dream],2015-10-30,elvispresley
17,Chris Brown,Intro,2005-11-29,chrisbrown
18,,Back From Baltimore,,neildiamond
19,Instant Party,Ground Hawg,,theeverlybrothers
20,Eagles,Peaceful Easy Feeling,1972-12-01,eagles
21,Night Versions: The Essential Duran Duran,Is There Something I Should Know? (Monster mix),,duranduran
22,The Greatest Songs of the Sixties,You've Lost That Lovin' Feelin',,barrymanilow
23,XSCAPE,A Place with No Name (Original Version),2014-05-13,michaeljackson
24,Rumours,I Don’t Want to Know,1977-02-04,fleetwoodmac
25,,Tutti Frutti,,fleetwoodmac
26,The Beatles (White Album) [Super Deluxe],Not Guilty (Esher Demo),2018-11-09,thebeatles
27,Let's Talk About Love,I Hate You Then I Love You,,cÇlinedion
28,,Dear Mr. President [DVD][Live],,pnk
29,Springsteen on Broadway,"The Promised Land (Introduction, Pt. 3) [Springsteen on Broadway]",2018-12-14,brucespringsteen
30,,I'll Sleep When I'm Dead (edit),,bonjovi
31,Graffiti ,I.Y.A.,2009-12-09,chrisbrown
32,Neither One of Us,And This Is Love,,gladysknightthepips
33,Sing Rodgers & Hart,Lover,,thesupremes
34,,"Shakedown (7"" version)",,bobseger
35,Caution,Giving Me Life,2018-11-16,mariahcarey
36,,Jesus Walked That Lonesome Valley,,elvispresley
37,The E.N.D. (The Energy Never Dies) [Deluxe Edition],I Gotta Feeling,2010-11-30,theblackeyedpeas
38,,Started From the Bottom (Funk Flex Freestyle),2013-04-03,chrisbrown
39,,I Confess (1950),,paulanka
40,Tales from the Brothers Gibb: A History in Song (1967-1990),Tomorrow Tomorrow,1969-06-01,beegees
41,R.,If I'm Wit' You,1998-09-11,r.kelly
42,Melody Road,First Time,,neildiamond
43,,Stand by Your Man,,bobbyvinton
44,Italiano,Il Cielo Ti Ha Creata Per Me,,neilsedaka
45,3D,So So Dumb,2002-11-12,tlc
46,For Sentimental Reasons ,I Get Along Without You Very Well,,lindaronstadt
47,,Welcome To My World,,rickynelson
48,R.,Don't Put Me Out,1998-09-11,r.kelly
49,Dancing on the Ceiling,Se La,1986-07-15,lionelrichie
50,,"Look at your phone as tool [May 21, 2018]",2018-05-21,kanyewest
51,,Medley starmania - live ÿ l'olympia,,cÇlinedion
52,Manilow Sings Sinatra,My Kind Of Town,,barrymanilow
53,Barbara Joan Streisand,Space Captain,,barbrastreisand
54,,Sweet Lady Mary,,rodstewart
55,Bad,Dirty Diana,1988-04-18,michaeljackson
56,,What Goes On Girl,,thebeatles
57,,Sympathy for the Devil,,bonjovi
58,Tumbleweed Connection,Burn Down the Mission,1970-10-30,eltonjohn
59,Unite,Better Late Than Never,,koolthegang
60,Emotions,Swanee River Rock,,brendalee
61,Fifty Shades of Grey (Original Motion Picture Soundtrack),Haunted (Michael Diamond Remix),2015-02-10,beyoncÇ
62,Elvis For Everyone,In My Way,,elvispresley
63,Home for Christmas,Jingle Bell Rock,,halloates
64,Late Registration,Gold Digger,2005-08-30,kanyewest
65,,Shake it Off (Remix),2005-07-12,mariahcarey
66,"The Greatest Collection, Volume 1",Solitary Man (live),,neildiamond
67,Music Box,Anytime You Need a Friend,1994-05-31,mariahcarey
68,The Amazing James Brown,The Bells,,jamesbrown
69,The Beatles (White Album) [Super Deluxe],Lady Madonna (Backing Vocals from Take 3),2018-11-09,thebeatles
70,,Bolero de Amor,,barrymanilow
71,All Summer Long,Hushabye,1964-07-13,thebeachboys
72,The Fox,Just Like Belgium,,eltonjohn
73,Breaking Through,Young And Foolish,,thefourtops
74,Blue Hawaii,No More,1961-10-20,elvispresley
75,The Spirit of Christmas,All I Want for Christmas,,raycharles
76,Coming Home,Up All Night,2006-09-12,lionelrichie
77,Thank You,Drive By,1995-04-04,duranduran
78,,Not My Fault,2009-06-26,chrisbrown
79,Chubby Checker's Biggest Hits,Whole Lot Of Shakin' Going On,,chubbychecker
80,Both Sides,I've Forgotten Everything,1993-10-18,philcollins
81,The Beatles (The White Album),I'm So Tired,1968-01-01,thebeatles
82,,"Talk To Me, Talk To Me - Soul '69 Outtake",,arethafranklin
83,Madman Across the Water,Madman Across the Water,1971-11-05,eltonjohn
84,,On ne change pas (live in quebec city),,cÇlinedion
85,,Heaven Must Have Sent You,,thesupremes
86,Rarities,Farewell (Early Version),,rodstewart
87,Body Wishes (Bonus Track Version),Move Me (Alternate Mix),1983-06-10,rodstewart
88,"Promises, Promises","Promises, Promises",,dionnewarwick
89,ButterFly,Grandma's Hands,1974-10-01,barbrastreisand
90,Spellbound,Blowing Kisses in the Wind,1991-10-17,paulaabdul
91,Yes Indeed,Lonely Avenue,,raycharles
92,Harmony,Intro - Poem: Mistakes And Illusions - Peace Of Mind,,threedognight
93,Manilow Magic,Looks Like We Made It,1977-04-20,barrymanilow
94,Number Ones,I Get Lonely (TNT Remix),1998-02-26,janetjackson
95,Soulful,Hey Jude,,dionnewarwick
96,A New Day Has Come,A New Day Has Come,2002-03-11,cÇlinedion
97,Good Vibrations: Thirty Years of the Beach Boys,Little Surfer Girl,1993-07-29,thebeachboys
98,Almost in Love,Clean Up Your Own Backyard,1969-06-17,elvispresley
99,Magical Mystery Tour,All You Need Is Love,1967-07-07,thebeatles
100,Showstoppers,Give My Regards to Broadway,,barrymanilow
101,,Cry me a River,2008-02-19,justinbieber
102,Let It Bleed,You Can't Always Get What You Want,1969-07-04,therollingstones
103,Before I Self Destruct,Psycho,2009-11-09,50cent
104,,Plain Jane (alternate take),,bobbydarin
105,I'm Your Baby Tonight,Takin' A Chance,1990-11-06,whitneyhouston
106,Cream of the Crop,Someday We'll Be Together,1969-10-14,thesupremes
107,Diana (Paul Anka Sings His Greatest Hits),The Longest Day,,paulanka
108,,Why did you go?,,raycharles
109,Bon Jovi,She Don't Know Me,1984-01-21,bonjovi
110,Heartbreak on a Full Moon,Reddi Wip,2017-10-31,chrisbrown
111,Foolish Behaviour (Bonus Track Version),I Just Want to Make Love to You (Live),1980-11-21,rodstewart
112,,Time Is Time,,beegees
113,A Very Special Season,Winter Wonderland,,dianaross
114,Goodbye Yellow Brick Road,Candle in the Wind,1974-10-05,eltonjohn
115,,Recovering,2016-09-09,cÇlinedion
116,Between the Buttons,Ruby Tuesday,1967-01-13,therollingstones
117,Songs About Jane: 10th Anniversary Edition,Sweetest Goodbye (Demo),,maroon5
118,The Best Years of Our Lives,Long Hard Climb,,neildiamond
119,Songs from the West Coast,Original Sin,,eltonjohn
120,When I'm Alone I Cry,I'll Be Around,,marvingaye
